2013年01月05日 00:58	萧阅心	新闻人物：真实袁厉害(图) O网页链接 @搜狐新闻客户端。 望世间多些像袁这样的爱心人士！ ​
2013年02月05日 21:46	笨笨的麦田martin	#袁厉害# @人物杂志 一面说大部分内情都是袁亲口告知，一方面又说袁回答置疑借口血压升高、昏厥过去；一方面同情袁是有钱不敢花的善良农妇，一边又以能让兰考市民沉默的神通称呼袁，一句“起火原因不明”让人浮想联翩真实与否待考感觉有些百度贴吧风格 详情:O查看话题详情 ​
2013年02月05日 21:46	梵梵的爸爸	没有农村生活经验的城里记者，怎么会知道乡村生活当中的诸多愚昧和风言风语，《人物》杂志是我去年订的一份新锐刊物，很不错。但真心不希望被袁厉害一文弄到砍旗的地步。邓正来先生生前提出过的Living Wisdom的概念，其实应该让媒体人很好地咀嚼一下，特别是他们面对庞大而又黑洞一般的中国农村。 ​
2013年02月05日 21:46	王家十二	媒体称袁厉害拥有20多套房产 将收养孩子分3等 O媒体称袁厉害拥有20多套房产 将收养孩子分3等_大豫网_腾讯网 我就知道事情没有这么简单！无知的兴奋的往往是不知真相的围观群众。当然人不可能没有私心，一方面当地政府需要宣传对象，所以夸大包装。而袁借此机会，提高自身价值，圈整财物。很多事情都是环境，人为所致。 ​
2013年02月05日 21:46	非特008	中国你让我怎样才能相信你？ 《媒体称袁厉害将收养孩子分级》 (来自 @头条新闻) O媒体称袁厉害将收养孩子分等级 购买或建房20套 ​
2013年02月05日 21:45	Ring880924	袁厉害女婿称欲起诉《人物》 袁厉害女婿微博截图《人物》杂志微博截图针对4日《人物》杂志微博发布的报道《厉害女士》一文，袁厉害女婿（@袁厉害-的女婿）微博 O网页链接 媒体道德无下限！！ ​
2013年02月05日 21:44	大戈	媒体称袁厉害将收养孩子分等级 至少有20套房产 O媒体称袁厉害将收养孩子分等级 至少有20套房产_新闻_腾讯网 @mark ​
2013年02月05日 21:43	云之媚	媒体称袁厉害将收养孩子分等级 至少有20套房产 O媒体称袁厉害将收养孩子分等级 至少有20套房产_新闻_腾讯网 ​
2013年02月05日 21:43	青岛Jerry2537139491	袁厉害被指将收养孩子分等级 至少有20套房产 　　　　　　　　来自河南省兰考县农村的袁厉害女士，近期频繁出现在媒体与公众视野里。导火索是1月4日一场突如其来的火灾，她所收养的7个孩子在自家居住的房子里丧生。... O袁厉害被指将收养孩子分等级 至少有20套房产|中国新闻|半岛网 （分享自 @半岛网） ​
2013年02月05日 21:43	姬梦鸾	#袁厉害# 一个会作秀的中国，雷政富和袁厉害给普通老百姓的信任狠狠滴甩了一巴掌，是笑世人太愚蠢，还是笑社会太疯癫！ 详情:O查看话题详情 ​
2013年02月05日 21:42	Hot_Money	《人物》杂志从创刊到现在的表现还是可圈可点，从选题到执行都可以看得出团队对于新闻专业主义和做一本一流杂志的追求。并且，从目前来看，也是站在了国内人物类杂志的前端。这次袁厉害事件引发了大家对于新闻专业主义的讨论，方向积极。但也要允许成长的失误，就事论事，尤其对记者。这是进步的基础。 ​
2013年02月05日 21:42	东南西瓜	看了《人物》对袁厉害的报道，只能感慨：人还真是复杂得很的。 ​
2013年02月05日 21:42	Hellen雅雅	分享网易新闻:「袁厉害女婿斥20套房报道不实」 O网页链接 ​
2013年02月05日 21:41	土蟞战士	《[博]袁厉害20套房与孩子分级》 (来自 @手机新浪网) O网页链接 ​
2013年02月05日 21:41	壹九八捌	某杂志报道，袁厉害至少有20套房产，她收养孩子也以残疾程度和相貌分为几等，“头等”孩子可享受好的照顾，下等孩子不如草芥 请问，看过这些之后，你心中的袁厉害是怎样的？ 1人无完人，仍值得被尊敬 2收养孩子就是功德 3最起码是一个善良的人 4写着玩吧！无良记者 5袁厉害，真够厉害 6失望，颠覆认知 ​
2013年02月05日 21:41	苏醒ZXJT	袁厉害将弃婴分3等 有20套房 O网页链接 (UC浏览器)是吗？ ​
2013年02月05日 21:40	心灵期待远行的海滨	媒体要有道德底线，要有良知，袁厉害已经很无助、可怜了。 ​
2013年02月05日 21:39	珺坊	兰考殒命悲剧调查：多面袁厉害 百感交集的爱 O兰考殒命悲剧调查：多面袁厉害 百感交集的爱_新闻_腾讯网 ​
2013年02月05日 21:38	束秧	媒体称袁厉害将收养孩子分等级 至少有20套房产 O媒体称袁厉害将收养孩子分等级 至少有20套房产_新闻_腾讯网 ​
2013年02月05日 21:38	柳大虾-W	#袁厉害#说得很对，这世上最大的恶，就是善不得终。她本身就不是那么完美，我们自己也不是，可是她那样做了，而我们没有，我们对她不能要求那么多，真的，已经够了。 ​
2013年02月05日 21:37	良心330	她做的这些300套房子都应该，那些官猿3套都让人恶心 //分享网易新闻:「袁厉害女婿斥20套房报道不实」 O网页链接 @网易新闻客户端 ​
2013年02月05日 21:35	斩新韭	袁厉害有20余套房产！！！！如何相信这世上还有好人… ​
2013年02月05日 21:35	阿夏sum	是七天了解真相还是用七天引导出了＂真相＂ //分享网易新闻:「袁厉害女婿斥20套房报道不实」 O网页链接 ​
2013年02月05日 21:34	很胖的瘦子w	《媒体称袁厉害将收养孩子分级》 (来自 @头条新闻) O媒体称袁厉害将收养孩子分等级 购买或建房20套 ​
2013年02月05日 21:32	胡图绘	从来都不该设立什么道德楷模，那只是意淫的强加。人本身就应该有两面，没有非白即黑，袁厉害估计要被很多人骂惨了，可是不该用她的恶掩盖她有的善，更应该想想是什么放大了她的自私甚至狠毒，那些跟她默契的有关部门们就能全身而退吗？那些腐烂的制度和人心就不该重铸吗？@莫非0249 @李承鹏 @薛蛮子 ​
2013年02月05日 21:31	化校大连	发表了博文 《袁厉害？《人物》？》 - 我不知道到底发生了什么！我还有一点小的生活常识,就我所知道的说几句！ 低保，这个记者称袁厉害用以牟利的政府救助！基本上这个是每个月百来块，这是我们这个地方 O袁厉害？《人物》？... ​
2013年02月05日 21:30	loviss1314	有病吧· 就算是· 婴儿你来养？？？？人家能养就是好人你管人家怎么养有没有钱『视频：袁厉害被指将弃婴分等级 至少有20套房』 O视频：袁厉害被指将弃婴分等级 至少有20套房 @新浪视频 ​
2013年02月05日 21:29	wqer99	顶！// 你这是收了政府多少好处费写出的文章？【媒体称袁厉害将收养孩子分等级 至少有20套房产】！[尽情吐槽尽在: O网页链接 ]（来自：Mooker新闻画报） ​
2013年02月05日 21:28	中国电信大理客服	【 袁厉害女婿斥20套房报道不实 O网页链接 】 ​
2013年02月05日 21:27	语心9号青鸟码头	媒体称袁厉害将收养孩子分等级.O网页链接 ​
2013年02月05日 21:26	左手右手快动作	【媒体称袁厉害将收养孩子分级】 O网页链接 (@掌中新浪) ​
2013年02月05日 21:23	成都日报锦观	【袁厉害女婿斥报道不实 称愿公开财产并将起诉】针对4日《人物》杂志微博发布的报道《厉害女士 》一文，袁厉害女婿微博发文斥其报道不实。他表示，“袁厉害名下只有1套房子那就是火灾事故点！我们愿意公开所有的财产状况”。袁厉害女婿还表示，他们已找律师准备对人物杂志提起诉讼。 ​
2013年02月05日 21:21	四川师范蒲建峰	[转帖]把人当家畜养殖，袁厉害果然是吃人的 【猫眼看人】 - 凯迪社区 O对象已移动 ​
2013年02月05日 21:19	逆流1927	食君之禄，忠君之事。妓者也是吗的法子 《媒体称袁厉害将收养孩子分级》 (来自 @头条新闻) O媒体称袁厉害将收养孩子分等级 购买或建房20套 ​
2013年02月05日 21:19	铁心的船长	袁厉害到底是一个怎样的人呢？ ​
2013年02月05日 21:19	ARS-De	【袁厉害女婿斥"20套房"不实】O袁厉害女婿斥“20套房”报道不实 称愿公开所有财产_资讯频道_凤凰网分享自@百度新闻 ​
2013年02月05日 21:18	陈琳Lizzie爱爸妈	媒体称袁厉害将收养孩子分等级 购买或建房20套 O网页链接 (分享自 @新浪新闻客户端 ) ​
2013年02月05日 21:17	豪气米老头	袁厉害女婿称欲起诉《人物》 袁厉害女婿微博截图《人物》杂志微博截图针对4日《人物》杂志微博发布的报道《厉害女士》一文，袁厉害女婿（@袁厉害-的女婿）微博 O网页链接 ​
2013年02月05日 21:17	六线城市老徐	至少，她分给那些需要一口饭的人一碗吃的。【媒体称袁厉害将收养孩子分等级 购买或建房20套 网易新闻】核心提示：媒体称，袁厉害对待收养的孩子以残疾程度和相貌将其分为三六九等。“头等”孩子得以享受最好的照顾，而最需要照顾的下等孩子，一度同垃圾、苍蝇、... O媒体称袁厉害将收养孩子分等级 至少有20套房_网易新闻中心 ​
2013年02月05日 21:16	锡杖	关于“袁厉害”事件，不知道咋就越弄越复杂呢？不明白！其实真相只有一个，期待着！ ​
2013年02月05日 21:16	传说中的戈	发表了博文 《看《人物》中的袁厉害》 - 前些日子的兰考袁厉害事件似乎淡出了人们的视线，而今天的一篇名为《收养的孩子分等级 拥有至少20套房产》的报道再次把袁厉害推到了风口浪尖上。这篇博文一经发布立即 O看《人物》中的袁厉害... ​
2013年02月05日 21:16	liuadon1983	陈光标 袁厉害 其实是一类人 有木有 ​
2013年02月05日 21:16	微微清风1	双面袁厉害？_公告_Young 漾_中国时刻网 O双面袁厉害？_公告_Young 漾_中国时刻网 ​
2013年02月05日 21:14	crocodile_piano	袁厉害再怎么将孩子分级，再怎么挣钱，再怎么有20套房子，也比那些贪官，比那些房姐，房妹，房叔，房婶，房爷，房祖宗强n多倍！！！！ ​
2013年02月05日 21:14	雨米724	凌乱 上海农民工钱7600? 袁厉害20套房产? 烟花致河南桥塌? 房姐被抓是因伪造印章? ​
2013年02月05日 21:13	我是蛟龙戏水	媒体称，袁厉害对待收养的孩子以残疾程度和相貌将其分为三六九等。“头等”孩子得以享受最好的照顾，而最需要照顾的下等孩子，一度同垃圾、苍蝇、大小便挤在一起艰难求生。据不完全统计，袁厉害为自己和家人在兰考自建或购买多处房产，保守估算超过20套住宅。但她从没过过一天有钱人的生活，敢挣不敢花 ​
2013年02月05日 21:13	喜欢幺妹儿的哥哥	#袁厉害# 此事件我只是通过网络新闻得知，因为两个极端的报道都有，我也不好评判什么。但一个人养了这么多孩子，而且是好多有残疾的孩子，我个人认为，这样的人不会坏到哪去。记者和网络水军们，凭自己良心工作吧。 ​
2013年02月05日 21:13	妙手回力	【信海光:我究竟还能相信什么?】据《人物》杂志一篇文章报道，因24年来收养超过100名弃婴而成名的袁厉害，其高尚无私的面具被戳破……《人物》杂志称，袁厉害收养了一百多个弃婴，又将他们按优劣分级，“头等... --@老蛇看天下 的微刊《思想测量者（Ideology）》 O信海光:我究竟还能相信什么? ​
2013年02月05日 21:12	失足青年末夏	查不清楚？【媒体称袁厉害将收养孩子分等级 购买或建房20套 网易新闻】核心提示：媒体称，袁厉害对待收养的孩子以残疾程度和相貌将其分为三六九等。“头等”孩子得以享受最好的照顾，而最需要照顾的下等孩子，一度同垃圾、苍蝇、... O媒体称袁厉害将收养孩子分等级 至少有20套房_网易新闻中心 ​
2013年02月05日 21:12	张大全紫砂	《有钱了！》开春药店。 2个户口170套房,再不打老虎,完了！ [顶表情] 空谈误国，实干兴邦！ ——看到海浪的声音的博文《【图说天下】领导先睡开大会 爱心妈妈袁厉害》有感而发的评论。O【图说天下】领导先睡... ​
